QuestID	QuestName	Objective	Description	DunningDialogue	UnfinishedDialogue	FinishedDialogue	Class	CanShare	CanRepeat	CanAssist	NeedAccept	Difficulty	QuestLevel	RequiredLevel	StartMapID	StartNpcTemplateID	StartDoodadTemplateID	StartItemType	StartItemIndex	StartGossipType	StartGossip1	StartGossip2	StartGossip3	StartGossip4	MinLevel	MaxLevel	MinMoral	MaxMoral	RequireGender	RequireRoleType	CooldownID	PrequestLogic	PrequestID1	PrequestID2	PrequestID3	PrequestID4	SubsequenceID	ForceIndex	StartTime	EndTime	RequireSkillID	MinSkillLevel	RequireLifeSkillID	MinLifeSkillLevel	StartForceIndex1	StartForceValue1	StartForceIndex2	StartForceValue2	StartForceIndex3	StartForceValue3	StartForceIndex4	StartForceValue4	StartRequireItemType1	StartRequireItemIndex1	StartRequireItemAmount1	StartRequireItemType2	StartRequireItemIndex2	StartRequireItemAmount2	StartRequireItemType3	StartRequireItemIndex3	StartRequireItemAmount3	StartRequireItemType4	StartRequireItemIndex4	StartRequireItemAmount4	OfferItemType1	OfferItemIndex1	OfferItemAmount1	OfferItemType2	OfferItemIndex2	OfferItemAmount2	OfferItemType3	OfferItemIndex3	OfferItemAmount3	OfferItemType4	OfferItemIndex4	OfferItemAmount4	EndMapID	EndNpcTemplateID	EndDoodadTemplateID	EndItemType	EndItemIndex	FinishTime	EndGossipType	EndGossip1	EndGossip2	EndGossip3	EndGossip4	EndRequireItemType1	EndRequireItemIndex1	EndRequireItemAmount1	IsDeleteEndRequireItem1	DropNpcTemplateID1	DropDoodadTemplateID1	DropItemRate1	IsDropForEach1	EndRequireItemType2	EndRequireItemIndex2	EndRequireItemAmount2	IsDeleteEndRequireItem2	DropNpcTemplateID2	DropDoodadTemplateID2	DropItemRate2	IsDropForEach2	EndRequireItemType3	EndRequireItemIndex3	EndRequireItemAmount3	IsDeleteEndRequireItem3	DropNpcTemplateID3	DropDoodadTemplateID3	DropItemRate3	IsDropForEach3	EndRequireItemType4	EndRequireItemIndex4	EndRequireItemAmount4	IsDeleteEndRequireItem4	DropNpcTemplateID4	DropDoodadTemplateID4	DropItemRate4	IsDropForEach4	KillNpcTemplateID1	KillNpcAmount1	KillNpcTemplateID2	KillNpcAmount2	KillNpcTemplateID3	KillNpcAmount3	KillNpcTemplateID4	KillNpcAmount4	QuestValue1	QuestValueStr1	QuestValue2	QuestValueStr2	QuestValue3	QuestValueStr3	QuestValue4	QuestValueStr4	QuestValue5	QuestValueStr5	QuestValue6	QuestValueStr6	QuestValue7	QuestValueStr7	QuestValue8	QuestValueStr8	EndForceIndex1	EndValue1	EndForceIndex2	EndValue2	EndForceIndex3	EndValue3	EndForceIndex4	EndValue4	RelationDoodadID1	RelationDoodadID2	RelationDoodadID3	RelationDoodadID4	HidePresent	PresentAll1	PresentAll2	PresentItemType1	PresentItemIndex1	PresentItemAmount1	PresentItemType2	PresentItemIndex2	PresentItemAmount2	PresentItemType3	PresentItemIndex3	PresentItemAmount3	PresentItemType4	PresentItemIndex4	PresentItemAmount4	PresentItemType5	PresentItemIndex5	PresentItemAmount5	PresentItemType6	PresentItemIndex6	PresentItemAmount6	PresentItemType7	PresentItemIndex7	PresentItemAmount7	PresentItemType8	PresentItemIndex8	PresentItemAmount8	PresentExp	PresentMoney	PresentMoral	AffectForceIndex1	AffectValue1	AffectForceIndex2	AffectValue2	AffectForceIndex3	AffectValue3	AffectForceIndex4	AffectValue4	AffectSkillID	Proficiency	RepeatCutPercent	PresentAssistIntimacy	PresentAssistMoral	PresentAssistExp	ScriptName	_Cat	_Type	_AreaQuest
52	无意之祸	李复让你去找刘村长报告事情的经过。	<F174 李复微微叹了一口气>\n<H28>你们真是年少无知啊，王大石也真是鲁莽。你们知不知道，擅做主张终会酿成大祸的？董虎罪无可赦，死不足惜，要杀他易如反掌，但现在还不是时候，画虎不成反类犬，只会起到适得其反的效果。不过……\n<H28><F174 李复好像意识到什么，脸色突然变了，嘴角也漏出一丝不易察觉的笑容，这还是你认识李复以来第一次看到他的笑容。>\n<H28>不过这样说不定会更有意思的一些，闲话少说，你还是先去向<F173 村长>报告你们的成果吧。<C>，你真有意思，太有意思了。	有意思，我果然没有来错稻香村。去找刘村长啊？我这可没有东西给你。		<F174 得知你杀掉了董虎，村长脸色煞白>\n<H28>什么！你竟把董大虫给杀了！你们知道董大虫是谁吗？糊涂啊，你们真是糊涂啊！唉，也怪我没有交代清楚，王大石那混小子！。\n<H28><F174 村长举起手中的拐杖就想敲打你，但是一下子没站立住差点跌到，你赶紧上去扶住他，一口气没上来，村长开始剧烈的咳嗽起来。>	稻香村					主线	9		1	25									1								51																																												1	36																																																																																																									230																		稻香村	123	
53	别离	刘村长叫你到村北稻山后山竹林的一处坟旁边挖出村长昔年埋包裹的地方把你当年留下的包裹给找出来，沿着西边的山崖往北走就可以找到。	唉，那董虎本是十二连环坞铁大爷的小舅子。十二连环坞的势力之大，就连朝廷都拿他们不住！杀人放火，抢劫强占，什么事干不出来？巴陵县多大的一个镇都在一夜之间给灭了！他要得知他小舅子被人杀死，一声令下，十二连环坞的山贼一来，可不是董虎这些乌合之众能比的，那时候我看就是李先生也救不了咱村了！\n<H28><F174 村长摇摇头，握住拐杖的手也在微微的颤抖>\n<H28>十二连环坞的人，可是惹不得，千万惹不得啊！唯今之计就是你先出去躲躲风头，装作是外人干的这件事，与咱村无关，兴许还能有救。\n<H28><C>，我想也该是告诉你身世的时候了。其实你并不是出生在咱村，在<F173 村北稻山后山的竹林>有一处坟旁边，有我埋的东西，但东西不是我的，是我十多年前把你救起来的时候你紧紧抱着的东西。你是时候走了，我想也是该把它还给你的时候了。	在村北稻山后山的竹林有一处坟旁边，有我埋的东西，但东西不是我的，是我十多年前把你救起来的时候你紧紧抱着的东西。你是时候走了，我想也是该把它还给你的时候了。	在村北稻山后山的竹林有一处坟旁边，有我埋的东西，但东西不是我的，是我十多年前把你救起来的时候你紧紧抱着的东西。你是时候走了，我想也是该把它还给你的时候了。	<F174 老村长看到你手中的包裹，眼神一下子迷离起来，最后还是长叹了一口气>\n<H28>该来的时候就会来，该走的时候还是要走的。	稻香村					主线	9		1	36									1					1			52				58																																								1	36										5	421	1			19																																																																1		7	107	1	8	14	1	5	281	1																1200																		稻香村	123	
54	父亲的遗物	刘村长叫你去挖出父亲的遗物，刘村长当年埋稻山野林西面山崖上的父亲坟墓后面。沿着西边的山崖往北走就可以找到。	唉，那董虎本是十二连环坞铁大爷的小舅子。十二连环坞的势力之大，就连朝廷都拿他们不住！杀人放火，抢劫强占，什么事干不出来？巴陵县多大的一个镇都在一夜之间给灭了！他要得知他小舅子被人杀死，一声令下，十二连环坞的山贼一来，可不是董虎这些乌合之众能比的，那时候我看就是李先生也救不了咱村了！\n<H28><F174 村长摇摇头，握住拐杖的手也在微微的颤抖>\n<H28>十二连环坞的人，可是惹不得，千万惹不得啊！唯今之计就是你先出去躲躲风头，装作是外人干的这件事，与咱村无关，兴许还能有救。\n<H28>唉，十五年前你父亲为了救村子中了毒针，唉，上天为什么这么不公平？不说这些了，如今你离开，他留下的东西也该交还给你，我把他的<F171 遗物>埋在了稻山野林中的坟墓后面，你去取来吧。坟墓的位置很隐秘，在村西边稻山野林一处小山坡上，你去<F173 稻山野林西边的山崖>边应该能找到入口。找到入口后一直往北走就能看见你父亲的<F173 墓碑>了。	你父亲的遗物埋在了稻山野林中的坟墓后面，你还不快去取来。坟墓很隐秘在村西边稻山野林一处隐秘的小山坡上，你去稻山野林西边的山崖边找找或许能找到入口的。找到入口后一直往北走就能看见你父亲的墓碑了。	你父亲的遗物埋在了稻山野林中的坟墓后面，你还不快去取来。坟墓很隐秘在村西边稻山野林一处隐秘的小山坡上，你去稻山野林西边的山崖边找找或许能找到入口的。找到入口后一直往北走就能看见你父亲的墓碑了。	命啊，这都是命啊。\n<H28><F174 老村长一边叹气一边摇头>\n<H28>没想到最后你还是违背了你父亲的遗愿，走上了江湖这条不归路，我最终还是没照顾好你，辜负了他……	稻香村					主线	9		1	36									1					2			52				58																																								1	36										5	421	1			19																																																																1		7	107	1	8	14	1	5	281	1																1200																		稻香村	123	
55	武师的馈赠	刘村长叫你去香山梯田边上的忠义亭挖出武师刘大海当年埋在忠义亭的事物。	唉，那董虎本是十二连环坞铁大爷的小舅子。十二连环坞的势力之大，就连朝廷都拿他们不住！杀人放火，抢劫强占，什么事干不出来？巴陵县多大的一个镇都在一夜之间给灭了！他要得知他小舅子被人杀死，一声令下，十二连环坞的山贼一来，可不是董虎这些乌合之众能比的，那时候我看就是李先生也救不了咱村了！\n<H28><F174 村长摇摇头，握住拐杖的手也在微微的颤抖>\n<H28>十二连环坞的人，可是惹不得，千万惹不得啊！唯今之计就是你先出去躲躲风头，装作是外人干的这件事，与咱村无关，兴许还能有救。\n<H28>你这些天对村子的帮助，<F173 刘武师>都看在眼里了，很有他当年热血江湖的味道。你这就要离开村子了，他当年闯荡江湖用过的东西，归隐后都被他埋在<F173 小镜湖忠义亭>附近，既然你要走，就全部送给你，你去找找吧。	他当年闯荡江湖用过的东西，归隐后都被他埋在小静湖忠义亭附近，既然你要走，就全部送给你，你去找找吧。	他当年闯荡江湖用过的东西，归隐后都被他埋在小静湖忠义亭附近，既然你要走，就全部送给你，你去找找吧。	大海当年就是因为护镖时触怒了十二连环坞，杀了几个十二连环坞贼子，为了不连累镖局不得不避难到了这里，没想到你和他走上了同一条道路，真是……\n<H28><F174 老村长话没说完，又开始咳嗽起来>	稻香村					主线	9		1	36									1					3			52				58																																								1	36										5	421	1			19																																																																1		7	107	1	8	14	1	5	281	1																1200																		稻香村	123	
56	母亲的遗物	刘村长让你去把母亲当年在小镜湖中间的小屋那留下的包裹找回来。	唉，那董虎本是十二连环坞铁大爷的小舅子。十二连环坞的势力之大，就连朝廷都拿他们不住！杀人放火，抢劫强占，什么事干不出来？巴陵县多大的一个镇都在一夜之间给灭了！他要得知他小舅子被人杀死，一声令下，十二连环坞的山贼一来，可不是董虎这些乌合之众能比的，那时候我看就是李先生也救不了咱村了！\n<H28><F174 村长摇摇头，握住拐杖的手也在微微的颤抖>\n<H28>十二连环坞的人，可是惹不得，千万惹不得啊！唯今之计就是你先出去躲躲风头，装作是外人干的这件事，与咱村无关，兴许还能有救。\n<H28><F174 老村长微微叹了一口气>\n<H28>你这么小就要一个人流浪，我真是放不下心。有句话，事到如今不得不告诉你了，其实你并不是我从外面捡的孤儿，你是有<F173 母亲>的，而且她还非常美丽。她路经稻香村的时候正好你临产，生下你后她好像有什么重要的事要做就急着走了，本来说马上就回来接你，没想到一直过了这么多年还没出现……她走之前告诉我在<172 小镜湖中间的小屋>那留下了一个<F171 包裹>，我想也是该给你的时候了。	你母亲留下的包裹就在小镜湖中间的小屋那。	你母亲留下的包裹就在小镜湖中间的小屋那。	孩子，看见这小盒子我又想起你母亲，其实她是扬州七秀坊的女侠。当年你母亲在夜里带着肚子里的你来到这小村庄，你可是徐嫂接生下来的，你也知道徐嫂待你就向亲女儿一样。你生下来还没到满月你母亲就在夜里偷偷离开村子了，只留下一句话：“花前月下，镜中湖上”，我猜想是等你长大了告诉你真相并且把她留在小镜湖的东西交给你。\n<H28><F174 老村长微微叹了一口气>\n<H28>现在你真的不放心让你独个儿去江湖上流浪，或许这时候让你离开不是个明智的选择，但怎么也好总比待在这里安全。孩子，你去吧，你可以去扬州的七秀坊看看有没有你母亲的消息。孩子，江湖险恶你一切要小心啊。	稻香村					主线	9		1	36									1					6			52				58																																								1	36										5	421	1			18																																																																1		7	107	1	8	14	1	5	281	1																1200																		稻香村	123	
57	出逃	与刘武师告别，并了解现在江湖上五大门派的消息。	听说你就要离开稻香村了，不过这也是势态所迫啊，<F173 十二连环坞>乃是天下最大黑道联盟，连走镖的镖头都不得不按月纳贡。我在江湖上行走之时，便是因为在金水护镖，杀了他们几个恶贼子，得罪了他们一个小头目，被追杀数日，最后连镖头也不敢做了，又怕连累了镖局里的兄弟，才躲到这里来了。如今他们的势力比那时更加庞大，而且遍及大江南北，江湖上寻常得门派只怕也惹他们不起，据我所知，或许只有数几个门派方能对你有所庇护。		江湖上的势力远没有你想象中简单，门派的恩怨情仇也说不清楚，但最主要的是要对自己的行为负责，千万不能与武林败类为伍。	这五大门派都是如今江湖上最具备影响力的江湖势力了，当然另外还有几个势力也不可小看，一个是在西湖迅速崛起的藏剑山庄，一个是百年世家川中唐家堡，还有让中原武林闻风丧胆的西南五毒教，另外还有势力遍布大江南北的丐帮，当然十数年前在中原呼风唤雨的明教也不可不提。江湖上的势力远没有你想象中简单，门派的恩怨情仇也说不清楚，但最主要的是要对自己的行为负责，千万不能与武林败类为伍。江湖中的规矩很多，现在没法子一一教你，但江湖中的人都很讲就义气和面子，做什么事情一定要想到这两点。	稻香村					主线	9		1	38									1								58				59																																								1	38																																																		1	初识少林寺	1	初识七秀坊	1	初识万花谷	1	初识纯阳派	1	初识天策府																				1		5	311	2																						240																		稻香村	123	
58	赠言	跟刘武师告别。	世事无常，我怎么也没有想到会有这么一天，再次和人谈起江湖。江湖险恶，可不是闹着玩的。别人对你好，很可能已经架了一把刀在你脖子上了。\n<H28><F174 说到这里老村长住口不语，似乎想起了什么不快的往事>\n<H28>出村之前你去找次<F173 刘武师>，多了解下江湖形势对你以后也有好处。	唉……恩公，你走得太早了啊……	唉……恩公，你走得太早了啊……	人不饱经折磨，绝不知江湖险恶，稍遇挫折，即萎靡沮丧，更非侠义中人。既然你今天离开了这个村子，就要记住，一日入江湖，终身在江湖，再想抽身就不容易了。最后还要注意的一点就是出门在外，僧道妇孺都不可小觑，遇到长者更是要多生几个心眼。这些人能行走江湖，必然都有过人之处，小心为上。还有在江湖中对朋友一定要肝胆相照，切不可做有违忠义之事。	稻香村	1				主线	10		1	36									1							0	53	54	55	56	57																																								1	38																																																																																																									240	10																	稻香村	123	
59	无限山河	找王富出村。	你放心去吧，我自会保护其他人离去，那些贼匪一时间群蛇无头，不会有威胁的，而十二连环坞的恶贼子还没这么快会来。\n<H28>你到<F173 王富>那里，记住现在千万不能走大道出去，王富那小子一定知道出村的捷径\n<H28><F174 说到这里刘大海很是惆怅>\n<H28>早知今日，何必当初……			我在外面跑商这么久，不是我夸口，大唐全境，还没有我没去过的地方。\n<H28><F174 说到这里王富很是得意>\n<H28>大唐繁华，这其中尤以长安、洛阳、扬州三处为首。	稻香村	1				主线	10		1	38									1								57																																												1	24																																																																																																									240																		稻香村	123	
60	疗伤	你受了点轻伤，让陈大夫帮你包扎一下。	你怎么又受伤了？还好这伤不重，在我稻香神医陈商手里这实在不算什么，来来来，你先不要动，我帮你包扎包扎就好了，保证你立刻生龙活虎。			治好了！	稻香村(废弃)		1				1		1										1																																																				1																																																																																																																											Scripts\Map\中原稻香村\quest\任务_疗伤.lua	稻香村	123	
61	初出茅庐	算算自己今天的运气。	古人云：卦者，卦也。悬挂物象以示于人，谓之卦。夫大人者，与天地合其德，与日月合其明，与四时合其序，与鬼神合其吉凶。先天下而天弗违，后天而奉天时。天且弗违，而况於人乎？况於鬼神乎？\n<H28><F174 余定才还没说完，看了看你>这位客官，老夫见你面相不凡，可要算上一卦？请选，请。			命中注定，好自为之吧。	稻香村						1		1	27									1																																																				1	27																																																		1	算命！																																																																								稻香村	123	
62	防身	王婆婆让你把旁边的镰刀拿上。	唉……你们这帮年轻人，总是这么马虎，以后可要吃大亏。刚才去采竹笋时是不是遇到了一些野兽啊？我这里有一把<F171 镰刀>，你先拿去，林子里什么都有，带上它我心里放心些。		有个防身的东西也好	还别说，你拿着这个的样子和我儿子倒也蛮像的，这个就拿给你用。唔，就是衣服不大像。	稻香村					主线	1		1	28									1					1																																															1	28										6	109	1	0		4																																																																																										150																		稻香村	123	
63	细心	刘村长让你把他旁边架子上的草叉拿去防身。	我正想找你呢，我准备了一些<F171 草叉>，诺，就是放在我身边那捆，最近到处都不安全，你还是带件东西防身的好，唉，想不到还有用到它的时候……		有个防身的东西也好。	这把武器就送给你了，唉，现在连女人和孩子都要拿上武器 ，总有一种不好的感觉，不是好兆头，不是好兆头啊。	稻香村					主线	1		1	36									1					2																																															1	36										6	110	1	0		3																																																																																										150																		稻香村	123	
64	赠刀	拿走王大石身边的佩刀并装备上。        	这是你当年走之前送给俺的<F171 腰刀>，俺一直带在身边。现在你回来了，正好物归原主，咱兄弟又能在一起杀敌了！哈哈，痛快！		有个防身的东西也好	怎么样？俺还算保管得好吧？还是和以前一样锋利啊，哈哈哈哈！	稻香村					主线	1		1	23									1					3																																															1	23																																																																																																									150																		稻香村	123	
65	阵地	王二让你去找在村东稻山梯田的民兵副队长陈刚。过桥后沿着路往田方向走，走到河心小岛附近就能看到队长了。	<F173 李先生>也真是的，别人都上去杀贼了，偏偏留我一个人来守这种没人注意的破地方。\n<H28>你说<F173 陈刚副队长>啊，他现在已经不在这里了，最近山贼攻得很猛，副队长带着兄弟们到<F173 南面路口>那里防守了。			我已经向李先生要了好几次救兵了，结果就派你来？\n<H28><F174 陈刚用怀疑的眼神看着你，但想了想，又露出会心的笑容>\n<H28>呵呵，我知道了，你就是那个人，看来是时候开始行动了。	稻香村					主线	4		1	66									1								29																																												1	39																																																																																																									160																		稻香村	123	
66	深谷指引	从石台上放置的三样物事中选择一件，再与李东流对话。	你方才扰了我作画的思绪！这幅《幽谷山居》又不知何时方可完成了！我万花谷向来与世隔绝，你是怎么来到这里的？\n哦？你是阿麻吕引荐来的？\n我旁边的石台上有<F171 三件物事>，乃药王孙思邈先生所设的一个考验。孙老曾言明，三件物事预表着医者三种不同的命运，只能选其一，且不能改变！你凭你的直觉从中择取一件吧！	万花之人最忌犹豫不决、三心二意，倘若如此，不如早点出谷去吧。	万花之人最忌犹豫不决、三心二意，倘若如此，不如早点出谷去吧。	作医者难，做万花的医者更难，虽然我也一直没有参透先生此举的深意，但相信只要凭你心中的执念去选择，必然会有一个满意的结果。	万花	1				主线	15		2	70									14																																																				2	70																																																		1	直觉的选择																																																						410	4																Scripts\Map\万花\quest\深谷之指引.lua	万花	123	
67	医者之勇	拆看帛书，照其上所述去割三只灵猴耳，之后交给裴元。	此中暗藏有一封<F171 帛书>，按书中所述，割三只猴耳交给<F173 裴元>，若有何不明，打开帛书观看，就明白如何去做了。你眼前的升降梯名为凌云梯，沿这凌云梯下面的道路向南走，渡过一座小石桥便到了<F173 落星湖>了，你可以在<F173 落星湖>找到孙思邈前辈的大弟子<F173 裴元>，或许他能帮你解开此中的奥义。	我万花弟子虽精通医术，心术不正之人不授，朽木难雕之辈不授，想做万花弟子，须要通过孙老的考验。	<F174 裴元对你不加理睬。>	老师常常教诲，行医者须有坚忍果决之志，超越常人之胆魄。否则遇到华佗开颅刮骨，畏首畏尾，岂不误了大事。\n只是你斩数只猴耳，居然面不更色，还是缺少一点医者的悲悯之心。	万花					主线	15		2	70									14								66				70																												5	439	1										2	77										5	440	3		119			0																																																																																								1900	20																Scripts\Map\万花\quest\辣手取猴耳.lua	万花	123	
68	医者之智	拆看帛书，用桃子引诱猴子，并仔细观察三只灵猴，回覆裴元。	此中暗藏有一封<F171 帛书>，按书中所述，仔细观察三只灵猴，回覆<F173 裴元>，若有何不明，打开帛书观看，就明白如何去做了。你眼前的升降梯名为凌云梯，沿这凌云梯下面的道路向南走，渡过一座小石桥便到了<F173 落星湖>了，你可以在<F173 落星湖>找到孙思邈前辈的大弟子<F173 裴元>，或许他能帮你解开此中的奥义。	我万花弟子虽精通医术，心术不正之人不授，朽木难雕之辈不授，想做万花弟子，须要通过孙老的考验。	<F174 裴元对你不加理睬。>	老师常常教诲，行医者须有博爱万物之心，灵犀贯通之智。\n古之扁鹊，全赖心细思巧，见其面而观其膏肓之间。\n你以镜观猴之毫末，的确聪慧细致，只是略有取巧狡滑之嫌。	万花					主线	15		2	70									14								66				70																												5	437	3	5	439	1							2	77																																																		3	观察灵猴																																																						1800	20																Scripts\Map\万花\quest\医者之智.lua	万花	123	
69	医者之勤	拆看帛书，从灵猴宝藏中取出猴儿果，带去给裴元。	此中暗藏有一封<F171 帛书>，按书中所述，取来猴儿果，带去给<F173 裴元>，若有何不明，打开帛书观看，就明白如何去做了。你眼前的升降梯名为凌云梯，沿这凌云梯下面的道路向南走，渡过一座小石桥便到了<F173 落星湖>了，你可以在<F173 落星湖>找到孙思邈前辈的大弟子<F173 裴元>，或许他能帮你解开此中的奥义。	我万花弟子虽精通医术，心术不正之人不授，朽木难雕之辈不授，想做万花弟子，须要通过孙老的考验。	<F174 裴元对你不加理睬。>	老师常常教诲，行医者须有踏实敦厚之行，身体力行，不辞劳苦。\n汉之张仲景，身为一方太守，却躬身于民间，搜集药草，问询病人，终治愈伤寒之苦。\n你不辞劳苦，稳重有余，但智巧灵便尚须磨炼。	万花					主线	15		2	70									14								66				70																												5	439	1										2	77										5	441	1			66																																																																																										1700	20																Scripts\Map\万花\quest\猴林掘宝.lua	万花	123	
70	见死不救	去西北方的凌云梯附近找到罗霄虎。	浑金璞玉，尚堪雕琢，裴某现在再给你一个机会。\n<N>，在<F173 西北方的凌云梯附近，>有个名为<F173 罗霄虎>的人前来求医，此人在江湖上臭名昭著，今朝落难，却寻到了我万花谷中。这等败类也来求医，把我万花之人看作贪钱的庸医了吧！\n你去设法将他赶走，办成此事，我会重新考虑你入谷之事。	<F174 裴元容色沉冷，不发一言。>		<F174 你刚走到罗霄虎身边，他便嚎啕大哭起来。>\n<H28>这位万花的<C>，行行好，救我兄弟一命？	万花					主线	15		2	77									14							0	67	68	69		71																																								2	72																																																																																																									410	4																	万花	123	
71	怜悯之心	以毒镖刺伤自己，向落星湖的阿布求取解药。	我兄弟中了唐家的毒镖，眼见就活不成了。\n昨日我求裴大先生相救，却被赶了出来。\n只怪我们兄弟当年年轻气盛，做了不少错事，如今后悔也来不及了！\n那天我听裴元的小徒阿布悄悄嘀咕说这毒很好解。唐东陵射在大哥身上的镖还在我这，若是有人肯发慈悲也染上此毒，再去找<F173 阿布>求医，当可轻易取得解药。不知你可愿出手相救？\n小人在此立誓，日后定然改过自新！	大哥他就要撑不住了，还请少侠成全……阿布就在裴元身旁。	床前明月光,疑是地上霜……	方才见你和师父谈话的时候还好好的，怎么中了唐门的蝎毒？	万花					主线	15		2	72									14								70				72																												5	443	1										2	78																																																		1	中毒																																																						450	10																Scripts\Map\万花\quest\怜悯之心.lua	万花	123	
72	驱毒灵药	去西面的逍遥林中大树附近采集青鱼石之粉，之后用阿布给你的凝露水调和成青鱼丹，交给凌云梯附近的罗霄虎。	你这人看起来和和气气的，竟然也跟外面那个坏人中了一样的毒，好生奇怪。还好我万花药材甚多，方可救你小命。\n谷中有一种奇异的石头唤作青鱼石，只要从上面磨一些<F171 青鱼石粉>，再用<F171 凝露水>调成<F171 青鱼丹>便可解除此毒。\n青鱼石<F173 落星湖西面的逍遥林中大树附近>便有，你身上有毒，小心那些花猴子！	这丹药补气回元可以，疗毒治伤也可以，可惜却治不得大伤。	拿到解药了么？	<F174 罗霄虎看你拿出药来，急不可待接了过去。>\n<H28>这就是解药？你可服过了么？	万花					主线	15		2	78									14								71				73																												5	444	1										2	72										5	446	1																																																																																													1900	30																Scripts\Map\万花\quest\驱毒灵药.lua	万花	123	
73	报答	把青鱼丹交给罗霄虎身后林中的罗文龙。	我兄弟<F173 罗文龙>，就在<F173 我身后林荫中>歇息，我先去拿点水来，烦劳你把这<F171 青鱼丹>拿给他服下，<N>，你真是救苦救难的活菩萨啊！\n<H28><F174 罗霄虎说这话时，眼神飘忽，颇为鬼祟。>	我兄弟正是在那林子的坡上歇息，您真是好人啊！	<F174 罗文龙身子不停抽搐。> 	<F174 罗文龙本来神色萎靡，服食了青鱼丹后，片刻间便振作起来。>\n<H28>哈哈哈，万花谷的医术，果然名不虚传。\n我这条命都要全仗你了，这这么大的恩情，你叫我怎么报答呢？哈哈。	万花					主线	15		2	72									14								72				74																												5	446	1										2	73										5	446	1																																																																																													410	16																	万花	123	
74	医之大者	罗文龙神色诡异，似乎不怀好意，你或许应将此事对裴元说说。	当日我兄弟二人千里迢迢来到谷中求医，裴元这老儿竟却将我二人拒之门外，让我们受了一肚子鸟气。\n<H28><F174 罗文龙见你满是鄙夷的神色，忙笑脸说道。>\n<H28>不过他这个徒儿着实不错，竟然冒险救我，嘿嘿，人倒是不错，就是有点傻气。	竟然还未死？算你命大！		<F174 裴元注意到你的伤口>\n<H28>你终于醒过来了。\n这两个败类狼子野心，本性难移。\n你这般容易便为人所骗，冲动鲁莽的性子，便似我当年一般。\n行医之人，若是救治坏人，便是残害好人，幸好你尚未铸成大错。\n不过，慈悲之心，乃是我行医之人最为难能可贵的品行！我这就引荐你加入我万花谷。	万花					主线	15		2	73									14								73				76																																								2	77																																																																																																									500	10																Scripts\Map\万花\quest\医之大者.lua	万花	123	
75	医鹿	裴元前去花海中解救四只中毒的仙鹿，四只生病的麋鹿，以检验你在用药上的天赋，落星湖南面便是花海。	医者除熟识药性之外，还需懂得用药之法。近日<F173 落星湖南边的花海之内>莫名其妙多了些中了毒的仙鹿，原本壮实的麋鹿也渐显萎靡。我已配成解毒医病之药，正可趁此机会考你一考。\n我这有两种丹药，<F171 黑色药丸>用以解毒，<F171 红色药丸>有活血之效，你拿这两种药丸救治四只<F172 中毒的仙鹿>，四只<F172 生病的麋鹿>，便可通过此次考验。\n用药之时需得细心观察选择使用，切忌盲目投药。	用药之时需得细心体察，切忌盲目投药。	用药之时需得细心体察，切忌盲目投药。	做得很好！	万花	1				支线	18		2	77									17																																								5	447	4	5	448	4							2	77																																																		4	已治疗中毒的仙鹿	4	已治疗生病的麋鹿																										1		8	16	1																						2120	20																	万花	123	
76	拜师	前往三星望月第一个高台上的药王阁，向孙思邈敬茶拜师。	万花谷中，琴、棋、书、画、工、花、医并称七圣，各有所长。恩师<F173 孙思邈>便是其中的药圣，江湖人人称药王，他老人家年过百岁，活人无数。\n本门规矩，入门前需得先向祖师敬茶，他老人家现在<F173 药王阁>居住，<F173 沿着西南方的石桥前去，不久便可以看到书有“万花谷”三字的石碑，从石碑旁的万花山门上行，便可到达三星望月区域。\n三星望月是由三个高台组成的宏伟建筑，高台之上各自建有赏星居，觅星殿，摘星楼三座楼阁，对于陌生人来说，那里并非很容易寻找，赏星居就位于第一个高台之上。>	恩师便住在赏星居中，三星望月的第一个高台之上。	元儿已将你所经历之事禀明，所谓医者当有父母之心，有如此仁心，看来我门中又有佳徒传承了！不过你要下定决心，武林之中，叛门出教乃是大忌，入我万花谷，不可再学其他门派武学，你若是心意已定，便行拜师之礼吧。	所谓医者，当有父母之心，你有如此仁心，看来我门中又有佳徒传承了！\n武林之中，叛门出教乃是大忌，一旦入我万花谷，不可再学其他门派武学！\n万花弟子皆医术高明，武学则以点穴为主。然万花谷中，异人颇多，各类才艺包罗万象，你需用心多加钻研，将来行走江湖大有用处！	万花					主线	15		2	77									14								74				93																												5	449	1										2	99										5	449	1																																						1	拜入万花																												1		7	120	1	7	121	1	6	113	1																1300	10																	万花	123	
77	宇晴	回去落星湖看看宇晴有无需要帮忙之处。	本该这就让你拜见东方谷主，只是最近万花谷中将有一场大喜事，他如今却是未必有空见你。<F173 宇晴>正在<F173 落星湖>为这喜事忙的不亦乐乎。这次万花谷中的来客着实不少，那里人手不多。你随裴元学医之余，也去帮帮她的忙吧。	晴儿在落星湖，你可去那寻她。万花许久未曾如此热闹了。你不记得落星湖在哪里么？你刚从那里过来。		<F174 宇晴见你前来帮忙，很是高兴。>\n<H28>是孙爷爷叫你来帮手么，我可要多谢了!	万花					主线	15		2	99									14								189				78																																								2	74																																																																																																									810	10																	万花	123	
