ID	Name	Class1	Class2	Class3	ShortDesc	Summary	AnnounceLevel	Level	LevelPercent	LevelNumber	Time	TimePercent	TimeNumber	Desire	DesirePercent	DesireNumber	Challenge	ChallengePercent	ChallengeNumber	RoughPoint	Point	RoughFinishPoint	FinishPoint	Exp	Message	Script	TitleID	ShiftID	ShiftType	TriggerVal	TimerName	IsShow	Icon
161	华衣！少林	江湖行	装备	造型	少林门派外装齐全	少林门派外装齐全		70	120%	5	40	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
162	华衣！纯阳	江湖行	装备	造型	纯阳门派外装齐全	纯阳门派外装齐全		70	120%	5	40	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
163	活色生香	江湖行	装备	造型	四个门派外装齐全	天策、万花、七秀、纯阳门派外装齐全		70	120%	5	160	180%	10	1	120%	5	1	140%	5	37	35	37	35	8100									
164	美伦美奂	江湖行	装备	造型	四个门派外装齐全	天策、万花、少林、纯阳门派外装齐全		70	120%	5	160	180%	10	1	120%	5	1	140%	5	37	35	37	35	8100									
165	身受重伤	江湖行	战斗	——	第一次重伤	——		6	60%	5	1	60%	10	0	80%	5	0	0.6	5	16	15	16	15	200									
166	就地调息	江湖行	战斗	——	第一次重伤后回营地休息	——		6	60%	5	1	60%	10	0	80%	5	0	0.6	5	16	15	16	15	200									
167	回营疗伤	江湖行	战斗	——	第一次重伤后继续战斗	——		6	60%	5	1	60%	10	0	80%	5	0	0.6	5	16	15	16	15	200									
168	心急如焚	江湖行	战斗	——	第一次内力用尽	——		6	60%	5	1	60%	10	0	80%	5	0	0.6	5	16	15	16	15	200									
169	久仰大名	江湖行	战斗	擂台	达成洛阳擂台所有成就	获得擂台以下成就：		70	120%	5	160+	200%	10	1	120%	5	1	140%	5	39	40	39	40	9200									
170	初胜！擂台	江湖行	战斗	擂台	洛阳擂台比赛获胜一次	擂台比赛获胜一次		50	80%	5	1	60%	10	0	80%	5	0	80%	5	18	20	18	20	3000									
171	十连胜！擂台	江湖行	战斗	擂台	在擂台比赛连续获胜10次	——		50	80%	5	5	60%	10	1	120%	5	1	120%	5	22	20	22	20	3000			称号前缀百胜						
172	二十连胜！擂台	江湖行	战斗	洛阳50级擂台	在擂台比赛连续获胜20次	——		50	80%	5	10	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700			称号后缀不败						
173	武艺可防身	江湖行	战斗	擂台	擂台比赛总获胜次数	总获胜次数50次		50	80%	5	8	80%	10	0	80%	5	0	80%	5	20	20	20	20	3000									
174	人中豪杰	江湖行	战斗	擂台	擂台比赛总获胜次数	总获胜次数100次		50	80%	5	16	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
175	百里人雄	江湖行	战斗	擂台	擂台比赛总获胜次数	总获胜次数1000次		70	120%	5	150	180%	10	1	120%	5	1	140%	5	37	35	37	35	8100									
176	囊中羞涩	江湖行	战斗	擂台	擂台比赛获得金钱100G	获胜赢得金钱100G		50	80%	5	30	100%	10	1	120%	5	0	80%	5	24	25	24	25	3700									
177	小有积蓄	江湖行	战斗	擂台	擂台比赛获得金钱500G	获胜赢得金钱500G		50	80%	5	60	140%	10	1	120%	5	1	120%	5	30	30	30	30	4500									
178	千金	江湖行	战斗	擂台	擂台比赛获得金钱1000G	获胜赢得金钱1000G		70	120%	5	100	160%	10	1	120%	5	1	140%	5	35	35	35	35	8100									
179	危机	江湖行	战斗	擂台	擂台结束倒数10秒内获胜	擂台结束倒数10秒内获胜		50	80%	5	3	60%	10	1	120%	5	1	120%	5	22	20	22	20	3000									
180	速战	江湖行	战斗	擂台	擂台10秒内获胜	擂台10秒内获胜		50	80%	5	3	60%	10	1	120%	5	1	120%	5	22	20	22	20	3000									
181	切磋	江湖行	战斗	切磋	切磋胜利1次	切磋胜利1次		30	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	1200									
182	承让	江湖行	战斗	切磋	切磋胜利100次	切磋胜利100次		50	80%	5	6	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
183	胜不骄	江湖行	战斗	切磋	切磋胜利1000次	切磋胜利1000次		70	120%	5	20	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
184	以武会友	江湖行	战斗	切磋	切磋胜利各门派人士一次	切磋胜利各门派人士一次		40	80%	5	1	60%	10	1	120%	5	0	80%	5	20	20	20	20	2200									
185	取胜！云湖天池	江湖行	战斗	战场副本	在战场中夺旗一次			50	80%	5	1	60%	10	1	120%	5	1	120%	5	22	20	22	20	3000									
186	取胜！云湖天池	江湖行	战斗	战场副本	在战场中获得25个有益效用	在战场中获得25个有益效用		50	80%	5	6	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
187	取胜！云湖天池	江湖行	战斗	战场副本	一场战斗中总伤害第一	一场战斗中总伤害第一		50	80%	5	6	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
188	取胜！云湖天池	江湖行	战斗	战场副本	一场战斗中总治疗第一	一场战斗中总治疗第一		50	80%	5	6	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
189	取胜！云湖天池	江湖行	战斗	战场副本	一场战斗中杀死15个以上的敌人	一场战斗中杀死15个敌人		50	80%	5	6	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
190	不死！云湖天池	江湖行	战斗	战场副本	一场战场中自己不死获得胜利			50	80%	5	6	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
191	初胜！云湖天池	江湖行	战斗	战场副本	战场胜利次数	战场胜利一次		50	80%	5	1	60%	10	0	80%	5	0	80%	5	18	20	18	20	3000									
192	百胜！云湖天池	江湖行	战斗	战场副本	战场胜利次数	战场胜利100次		50	80%	5	30	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700			称号前缀追魂						
193	千胜！云湖天池	江湖行	战斗	战场副本	战场胜利次数	战场胜利1000次		70	120%	5	60	140%	10	1	120%	5	1	140%	5	33	35	33	35	8100			称号前缀夺命						
194	击杀！云湖天池	江湖行	战斗	战场副本	战场内杀各门派人士一次	战场内杀各门派人士一次		70	120%	5	1	60%	10	0	80%	5	1	140%	5	23	25	23	25	5800									
195	胜利！云湖天池	江湖行	战斗	战场副本	达成战场以上成就	——		70	120%	5	100	160%	10	1	120%	5	1	140%	5	35	35	35	35	8100									
196	取胜！神农洇	江湖行	战斗	战场副本	一场战斗中杀死30个尸人	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
197	取胜！神农洇	江湖行	战斗	战场副本	一场战斗中杀死15个前锋	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
198	取胜！神农洇	江湖行	战斗	战场副本	一场战斗中杀死一名观察者	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
199	取胜！神农洇	江湖行	战斗	战场副本	一场战斗中杀死一名大将	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
200	取胜！神农洇	江湖行	战斗	战场副本	一场战斗中杀死守卫6人	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
201	取胜！神农洇	江湖行	战斗	战场副本	一场战斗中得到300分	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
202	取胜！神农洇	江湖行	战斗	战场副本	一场战斗中得到500分	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
203	取胜！神农洇	江湖行	战斗	战场副本	一场战斗中总伤害第一	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
204	取胜！神农洇	江湖行	战斗	战场副本	一场战斗中总治疗第一	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
205	完胜！神农洇	江湖行	战斗	战场副本	一场战争中对方0分自己获得胜利	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
206	不死！神农洇	江湖行	战斗	战场副本	一场战争中己方不死一个NPC获得胜利	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
207	初胜！神农洇	江湖行	战斗	战场副本	战场胜利次数	战场胜利一次		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
208	百胜！神农洇	江湖行	战斗	战场副本	战场胜利次数	战场胜利100次		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
209	千胜！神农洇	江湖行	战斗	战场副本	战场胜利次数	战场胜利1000次		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
210	胜利！神农洇	江湖行	战斗	战场副本	战场内杀各门派人士一次	战场内杀各门派人士一次		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
211	野外战场占用ID	江湖行	战斗	野外战场	——	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
212	野外战场占用ID	江湖行	战斗	野外战场	——	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
213	野外战场占用ID	江湖行	战斗	野外战场	——	——		70	120%	5	6	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
214	野外战场占用ID	江湖行	战斗	野外战场	——	——		70	120%	5	6	80%	10	1	120%	5	1	120%	5	26	25	26	25	5800									
215	野外战场占用ID	江湖行	战斗	野外战场	——	——		70	120%	5	6	80%	10	1	120%	5	1	120%	5	26	25	26	25	5800									
216	多才多艺	江湖行	技艺	等级	所有的技艺等级到最高	全部生活技能到最高		70	120%	5	120	160%	15	1	120%	5	1	140%	5	43	45	43	45	10400			称号后缀神匠						
217	采集的嗜好	江湖行	技艺	等级	神龙、采金、庖丁技艺到最高	神龙、采金、庖丁技艺到最高		70	120%	5	42	120%	10	1	120%	5	1	140%	5	31	30	31	30	6900									
218	初学！神农	江湖行	技艺	——	学习神农	学习神农		15	60%	5	1	60%	10	1	120%	5	0	60%	5	18	20	18	20	700									
219	初学！采金	江湖行	技艺	——	学习采金	学习采金		15	60%	5	1	60%	10	1	120%	5	0	60%	5	18	20	18	20	700									
220	初学！搜索	江湖行	技艺	——	学习搜索	学习搜索		15	60%	5	1	60%	10	1	120%	5	0	60%	5	18	20	18	20	700									
221	初学！医术	江湖行	技艺	——	学习医术	学习医术		15	60%	5	1	60%	10	1	120%	5	0	60%	5	18	20	18	20	700									
222	初学！锻造	江湖行	技艺	——	学习锻造	学习锻造		15	60%	5	1	60%	10	1	120%	5	0	60%	5	18	20	18	20	700									
223	初学！缝纫	江湖行	技艺	——	学习缝纫	学习缝纫		15	60%	5	1	60%	10	1	120%	5	0	60%	5	18	20	18	20	700									
224	初学！烹饪	江湖行	技艺	——	学习烹饪	学习烹饪		15	60%	5	1	60%	10	1	120%	5	0	60%	5	18	20	18	20	700									
225	识字	江湖行	技艺	——	学习阅读	学习阅读		15	60%	5	1	60%	10	1	120%	5	0	60%	5	18	20	18	20	700									
226	精通！神农	江湖行	技艺	——	神农练到50级	神农突破到50级		50	80%	5	14	100%	10	1	120%	5	0	80%	5	24	25	24	25	3700									
227	精通！采金	江湖行	技艺	——	采金练到50级	采金突破到50级		50	80%	5	14	100%	10	1	120%	5	0	80%	5	24	25	24	25	3700									
228	精通！庖丁	江湖行	技艺	——	庖丁练到50级	庖丁突破到50级		50	80%	5	14	100%	10	1	120%	5	0	80%	5	24	25	24	25	3700									
229	精通！医术	江湖行	技艺	——	医术练到50级	医术突破到50级		50	80%	5	14	100%	10	1	120%	5	0	80%	5	24	25	24	25	3700									
230	精通！锻造	江湖行	技艺	——	锻造练到50级	锻造突破到50级		50	80%	5	14	100%	10	1	120%	5	0	80%	5	24	25	24	25	3700									
231	精通！缝纫	江湖行	技艺	——	缝纫练到50级	缝纫突破到50级		50	80%	5	14	100%	10	1	120%	5	0	80%	5	24	25	24	25	3700									
232	精通！烹饪	江湖行	技艺	——	烹饪练到50级	烹饪突破到50级		50	80%	5	14	100%	10	1	120%	5	0	80%	5	24	25	24	25	3700									
233	博览群书	江湖行	技艺	——	阅读练到50级	阅读突破到50级		50	80%	5	14	100%	10	1	120%	5	0	80%	5	24	25	24	25	3700									
234	名师！神农	江湖行	技艺	等级	神龙技艺到70级	神龙技艺突破到70级		70	120%	5	35	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号后缀药师						
235	名师！采金	江湖行	技艺	等级	采金技艺到70级	采金技艺突破到70级		70	120%	5	35	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号后缀矿师						
236	名师！庖丁	江湖行	技艺	等级	庖丁技艺到70级	庖丁技艺突破到70级		70	120%	5	35	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号后缀屠夫						
237	名师！医术	江湖行	技艺	等级	制药技艺到70级	制药技艺突破到70级		70	120%	5	35	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号后缀神医						
238	名师！锻造	江湖行	技艺	等级	锻造技艺到70级	锻造技艺突破到70级		70	120%	5	35	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号后缀巧匠						
239	名师！缝纫	江湖行	技艺	等级	缝纫技艺到70级	缝纫技艺到突破到70级		70	120%	5	35	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号后缀绣师						
240	名师！烹饪	江湖行	技艺	等级	烹饪技艺到70级	烹饪技艺到突破到70级		70	120%	5	35	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号后缀御厨						
241	文采横溢	江湖行	技艺	等级	阅读技艺到70级	阅读技艺到突破到70级		70	120%	5	35	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号后缀俊士						
242	初学！铜矿	江湖行	技艺	物品产出	采集指定矿物一定数量	采集铜矿80个		10	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	400									
243	初学！铅矿	江湖行	技艺	物品产出	采集指定矿物一定数量	采集铅矿80个		15	60%	5	10	100%	10	0	80%	5	0	60%	5	20	20	20	20	700									
244	初学！锌矿	江湖行	技艺	物品产出	采集指定矿物一定数量	采集锌矿80个		20	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1000									
245	精通！铁矿	江湖行	技艺	物品产出	采集指定矿物一定数量	采集铁矿80个		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
246	名师！银砂矿	江湖行	技艺	物品产出	采集指定矿物一定数量	采集银砂矿80个		70	120%	5	20	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
247	初学！甘草	江湖行	技艺	物品产出	采集指定药草一定数量	采集甘草80个		10	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	400									
248	初学！露水	江湖行	技艺	物品产出	采集指定药草一定数量	采集露水40个		15	60%	5	10	80%	10	0	80%	5	0	60%	5	18	20	18	20	700									
249	初学！大黄	江湖行	技艺	物品产出	采集指定药草一定数量	采集大黄80个		15	60%	5	10	80%	10	0	80%	5	0	60%	5	18	20	18	20	700									
250	精通！五味子	江湖行	技艺	物品产出	采集指定药草一定数量	采集五味子80颗		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
251	名师！远志	江湖行	技艺	物品产出	采集指定药草一定数量	采集远志80颗		70	120%	5	20	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
252	庖丁入门	江湖行	技艺	物品产出	指定尸体庖丁术一定次数	庖丁10-20级通用尸体50次		10	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	400									
253	庖丁入门	江湖行	技艺	物品产出	指定尸体庖丁术一定次数	庖丁20-30级通用尸体50次		20	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1000									
254	庖丁入门	江湖行	技艺	物品产出	指定尸体庖丁术一定次数	庖丁30-40级通用尸体50次		30	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1600									
255	庖丁入门	江湖行	技艺	物品产出	指定尸体庖丁术一定次数	庖丁40-50级通用尸体50次		40	80%	5	14	100%	10	0	80%	5	0	60%	5	21	20	21	20	2200									
256	庖丁学成	江湖行	技艺	物品产出	指定尸体庖丁术一定次数	庖丁50-60级通用尸体50次		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
257	庖丁解牛	江湖行	技艺	物品产出	指定尸体庖丁术一定次数	庖丁60-70级通用尸体50次		70	120%	5	20	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
258	妙手回春	江湖行	技艺	物品产出	产出万花医术指定物品一定数量	下血止品散50个		10	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	400									
259	妙手回春	江湖行	技艺	物品产出	产出万花医术指定物品一定数量	中品止品散50个		20	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1000									
260	妙手回春	江湖行	技艺	物品产出	产出万花医术指定物品一定数量	上品止品散50个		30	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1600									
261	妙手回春	江湖行	技艺	物品产出	产出万花医术指定物品一定数量	下品止血丸50个		40	80%	5	14	100%	10	0	80%	5	0	60%	5	21	20	21	20	2200									
262	妙手回春	江湖行	技艺	物品产出	产出万花医术指定物品一定数量	中品止血丸50个		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
263	妙手回春	江湖行	技艺	物品产出	产出万花医术指定物品一定数量	避水金针50个		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
264	妙手回春	江湖行	技艺	物品产出	产出万花医术指定物品一定数量	万花丹50个		70	120%	5	20	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
265	妙手回春	江湖行	技艺	物品产出	产出江湖医术指定物品一定数量	软筋针50个		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
266	妙手回春	江湖行	技艺	物品产出	产出江湖医术指定物品一定数量	天霜粉50个		70	120%	5	20	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
267	美味佳肴	江湖行	技艺	物品产出	做出烹饪食物一定数量	肉包50个		10	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	400									
268	美味佳肴	江湖行	技艺	物品产出	做出烹饪食物一定数量	杂碎汤50个		14	60%	5	10	80%	10	0	80%	5	0	60%	5	18	20	18	20	700									
269	美味佳肴	江湖行	技艺	物品产出	做出烹饪食物一定数量	贡丸汤50个		20	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1000									
270	美味佳肴	江湖行	技艺	物品产出	做出烹饪食物一定数量	太后饼50个		30	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1600									
271	美味佳肴	江湖行	技艺	物品产出	做出烹饪食物一定数量	白汁芦筋50个		44	80%	5	14	100%	10	0	80%	5	0	60%	5	21	20	21	20	2500									
272	美味佳肴	江湖行	技艺	物品产出	做出烹饪食物一定数量	毛血旺50个		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
273	美味佳肴	江湖行	技艺	物品产出	做出烹饪食物一定数量	百味宴50个		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
274	美味佳肴	江湖行	技艺	物品产出	做出烹饪食物一定数量	"天补丸50个"		70	120%	5	20	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
275	美味佳肴	江湖行	技艺	物品产出	做出烹饪食物一定数量	碎肉骨头汤40份		70	120%	5	20	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
276	鬼斧神工	江湖行	技艺	物品产出	做出指定锻造产物	铜锭80个		10	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	400									
277	鬼斧神工	江湖行	技艺	物品产出	做出指定锻造产物	锡锭80个		20	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1000									
278	鬼斧神工	江湖行	技艺	物品产出	做出指定锻造产物	锌锭80个		30	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1600									
279	鬼斧神工	江湖行	技艺	物品产出	做出指定锻造产物	铅锭80个		40	80%	5	14	100%	10	0	80%	5	0	60%	5	21	20	21	20	2200									
280	鬼斧神工	江湖行	技艺	物品产出	做出指定锻造产物	生铁锭80个		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
281	鬼斧神工	江湖行	技艺	物品产出	产出武器铸造指定物品一定数量	作出粗磨50个		50	80%	5	20	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
282	鬼斧神工	江湖行	技艺	物品产出	产出武器铸造指定物品一定数量	龙血磨40个		70	120%	5	14	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
283	鬼斧神工	江湖行	技艺	物品产出	产出制甲铸造指定物品一定数量	银纹甲片40个		50	80%	5	20	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
284	鬼斧神工	江湖行	技艺	物品产出	产出制甲铸造指定物品一定数量	鬼虎甲片40个		70	120%	5	14	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
285	心灵手巧	江湖行	技艺	物品产出	做出指定缝纫产物	粗制的皮革50个		10	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	400									
286	心灵手巧	江湖行	技艺	物品产出	做出指定缝纫产物	粗制的薄皮革50个		20	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1000									
287	心灵手巧	江湖行	技艺	物品产出	做出指定缝纫产物	皮革50个		30	60%	5	12	100%	10	0	80%	5	0	60%	5	20	20	20	20	1600									
288	心灵手巧	江湖行	技艺	物品产出	做出指定缝纫产物	精制皮革50个		40	80%	5	14	100%	10	0	80%	5	0	60%	5	21	20	21	20	2200									
289	心灵手巧	江湖行	技艺	物品产出	做出指定缝纫产物	精制原皮革50个		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
290	心灵手巧	江湖行	技艺	物品产出	刺绣指定物品一定数量	鹅黄绣（下装）40次		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
291	心灵手巧	江湖行	技艺	物品产出	刺绣指定物品一定数量	海棠绣（下装）40次		70	120%	5	14	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
292	心灵手巧	江湖行	技艺	物品产出	印染指定物品一定数量	净白染（上装）40次		50	80%	5	14	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
293	心灵手巧	江湖行	技艺	物品产出	印染指定物品一定数量	海棠绣（下装）40次		70	120%	5	14	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
294	博闻！道家	江湖行	技艺	物品产出	阅读道家书籍一定数量	阅读道家书籍六十本		70	120%	5	14	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
295	博闻！佛家	江湖行	技艺	物品产出	阅读佛家书籍一定数量	阅读佛家书籍六十本		70	120%	5	14	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
296	博闻！杂集	江湖行	技艺	物品产出	阅读杂集一定数量	阅读杂集六十本		70	120%	5	14	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
297	生花秒笔	江湖行	技艺	物品产出	抄录书籍一定数量	抄录书籍六十本		70	120%	5	14	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
298	才占八斗	江湖行	技艺	物品产出	阅读书籍种类	各类书籍都阅读过一次		20	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	800									
299	满腹经纶	江湖行	技艺	物品产出	阅读书籍种类	全种类书籍阅读成就		70	120%	5	3	60%	10	1	120%	5	1	140%	5	25	25	25	25	5800									
300	大快朵颐	江湖行	技艺	食用物品	食用指定物品一定数量	"食用贵妃宴100次"		70	120%	5	30	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
301	饕餮盛宴	江湖行	技艺	食用物品	食用指定物品一定数量	"食用天补丸100次"		70	120%	5	30	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
302	德才兼备	江湖行	技艺	配方学习	完成配方学习以下成就	完成配方类成就		70	120%	5	150	180%	15	1	120%	5	1	140%	5	46	45	46	45	10400			称号后缀名师						
303	缝纫名师	江湖行	技艺	配方学习	缝纫配方学习数量50个	缝纫配方学习数量50个		70	120%	5	70	140%	10	1	120%	5	1	140%	5	33	35	33	35	8100			称号后缀赛织女						
304	锻造名师	江湖行	技艺	配方学习	锻造配方学习数量50个	锻造配方学习数量50个		70	120%	5	70	140%	10	1	120%	5	1	140%	5	33	35	33	35	8100			称号后缀小干将						
305	江湖名医	江湖行	技艺	配方学习	医术配方学习数量50个	医术配方学习数量50个		70	120%	5	70	140%	10	1	120%	5	1	140%	5	33	35	33	35	8100			称号后缀小华佗						
306	宫廷御厨	江湖行	技艺	配方学习	烹饪配方学习数量50个	烹饪配方学习数量50个		70	120%	5	70	140%	10	1	120%	5	1	140%	5	33	35	33	35	8100			称号后缀赛易牙						
307	饥不择食	江湖行	技艺	使用道具	做1种有害食品自己吃	食用带酸味的包子		10	80%	5	10	80%	10	1	120%	5	1	120%	5	24	25	24	25	600									
308	饥不择食	江湖行	技艺	使用道具	做1种有害食品自己吃	食用腻味的杂碎面		14	80%	5	10	80%	10	1	120%	5	1	120%	5	24	25	24	25	800									
309	饥不择食	江湖行	技艺	使用道具	做1种有害食品自己吃	食用没放盐的粟米粥		28	80%	5	10	80%	10	1	120%	5	1	120%	5	24	25	24	25	1800									
310	饥不择食	江湖行	技艺	使用道具	做1种有害食品自己吃	食用咬不动的蹄筋		44	80%	5	10	80%	10	1	120%	5	1	120%	5	24	25	24	25	3200									
311	饥不择食	江湖行	技艺	使用道具	做1种有害食品自己吃	食用肥腻血肠		50	80%	5	10	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
312	厨艺不佳	江湖行	技艺	使用道具	以上5个有毒的东西都完成	"以上5个有毒的东西都食用：带酸味的包子、腻味的杂碎面、没放盐的粟米粥、咬不动的蹄筋、肥腻血肠"		70	80%	5	50	120%	10	1	120%	5	1	120%	5	28	30	28	30	6900			称号后缀食神						
313	有难同当	江湖行	技艺	使用道具	做1种有毒的宴会给朋友吃	请朋友食用没有酒的任侠宴		30	60%	5	10	80%	10	1	120%	5	1	140%	5	24	25	24	25	2000									
314	有难同当	江湖行	技艺	使用道具	做1种有毒的宴会给朋友吃	请朋友食用不够兄弟的兄弟宴		40	60%	5	10	80%	10	1	120%	5	1	120%	5	23	25	23	25	2800									
315	有难同当	江湖行	技艺	使用道具	做1种有毒的宴会给朋友吃	请朋友食用真正的鸿门宴		50	80%	5	10	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
316	有难同当	江湖行	技艺	使用道具	做1种有毒的宴会给朋友吃	请朋友食用不地道的三头宴		50	80%	5	10	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
317	有难同当	江湖行	技艺	使用道具	做1种有毒的宴会给朋友吃	请朋友食用杂味宴		50	80%	5	10	80%	10	1	120%	5	1	120%	5	24	25	24	25	3700									
318	死无可恨	江湖行	技艺	使用道具	以上5个有毒宴会都请朋友食用	以上5个有毒的东西朋友都食用		70	120%	5	50	120%	10	1	120%	5	1	120%	5	30	30	30	30	6900			称号后缀天吃星						
319	下雨要打伞	江湖行	技艺	使用道具	使用雨伞30次	使用雨伞30次		50	80%	5	3	60%	10	1	120%	5	0	100%	5	21	20	21	20	3000									
320	天黑点灯笼	江湖行	技艺	使用道具	使用灯笼30次	使用灯笼30次		50	80%	5	3	60%	10	1	120%	5	0	100%	5	21	20	21	20	3000									
321	闲情吹笛子	江湖行	技艺	使用道具	使用笛子30次	使用笛子30次		50	80%	5	3	60%	10	1	120%	5	0	100%	5	21	20	21	20	3000									
322	晴空摇飘带	江湖行	技艺	使用道具	使用飘带30次	使用飘带30次		50	80%	5	3	60%	10	1	120%	5	0	100%	5	21	20	21	20	3000									
